Date,Open,High,Low,Close,Volume,Adj Close
2009-12-30,66.95,67.10,65.80,65.90,14489200,65.90
2009-12-29,66.85,67.20,66.70,67.00,48500,67.00
2009-12-28,66.75,67.30,66.65,66.95,6205500,66.95
2009-12-23,67.00,67.10,66.60,66.90,16300,66.90
2009-12-22,66.25,66.95,66.20,66.85,15509000,66.85
2009-12-21,65.40,66.10,65.35,66.10,38300,66.10
2009-12-18,65.85,66.30,65.25,65.50,15984700,65.50
2009-12-17,66.40,66.75,65.40,65.50,17516800,65.50
2009-12-16,66.45,66.75,66.30,66.75,12590100,66.75
2009-12-15,66.90,66.90,65.40,66.20,75500,66.20
2009-12-14,67.60,67.60,66.45,66.85,9781200,66.85
2009-12-11,67.90,68.10,67.05,67.05,8976300,67.05
2009-12-10,67.60,67.95,67.20,67.50,10715000,67.50
2009-12-09,68.45,68.70,67.20,67.35,16185100,67.35
2009-12-08,67.10,68.45,66.95,68.10,18233200,68.10
2009-12-07,67.00,67.40,66.60,67.00,11526700,67.00
2009-12-04,66.55,67.75,65.55,67.25,19068600,67.25
2009-12-03,68.40,68.40,66.60,66.60,14441500,66.60
2009-12-02,68.00,68.40,67.25,68.00,13216600,68.00
2009-12-01,68.00,68.90,67.60,67.90,16641200,67.90
2009-11-30,68.15,68.45,66.30,67.00,19610100,67.00
2009-11-27,66.95,68.65,66.35,68.45,17609600,68.45
2009-11-26,68.85,69.15,67.60,67.70,28200,67.70
2009-11-25,70.15,70.40,68.80,69.50,19305900,69.50
2009-11-24,69.80,69.95,69.15,69.30,19022500,69.30
2009-11-23,70.10,70.70,70.10,70.50,11537600,70.50
2009-11-20,70.35,70.85,69.90,70.10,11800,70.10
2009-11-19,71.55,71.85,70.00,70.20,13766700,70.20
2009-11-18,72.50,72.85,71.65,71.80,13887200,71.80
2009-11-17,72.20,72.65,72.20,72.35,12042400,72.35
2009-11-16,72.35,72.85,71.95,72.50,9185100,72.50
2009-11-13,71.85,73.00,71.85,72.20,7370300,72.20
2009-11-12,72.35,72.85,72.15,72.20,8259200,72.20
2009-11-11,72.90,73.40,72.30,72.60,9943000,72.60
2009-11-10,72.55,73.10,72.20,72.50,13158900,72.50
2009-11-09,72.00,72.95,71.70,72.75,9957700,72.75
2009-11-06,72.50,72.90,71.65,71.95,17009700,71.95
2009-11-05,73.35,73.70,71.60,72.00,27604700,72.00
2009-11-04,75.55,75.90,73.90,74.65,18189500,74.65
2009-11-03,74.15,76.00,74.05,75.50,21823300,75.50
2009-11-02,74.15,75.20,74.10,74.90,17713800,74.90
2009-10-30,75.10,76.95,75.10,76.10,27900,76.10
2009-10-29,72.90,74.85,72.85,74.10,22901200,74.10
2009-10-28,72.30,73.75,71.35,73.35,29146000,73.35
2009-10-27,71.00,71.70,70.40,71.50,17151500,71.50
2009-10-26,72.15,72.40,70.50,70.90,16341500,70.90
2009-10-23,72.00,73.60,71.10,72.00,48457700,72.00
2009-10-22,67.90,69.50,67.30,69.40,308900,69.40
2009-10-21,72.40,74.20,71.70,74.00,27100,74.00
2009-10-20,73.70,73.70,72.20,72.60,11511000,72.60
2009-10-19,72.30,73.80,71.90,73.30,11584800,73.30
2009-10-16,71.90,73.40,71.90,72.60,23260000,72.60
2009-10-15,71.30,73.00,70.90,71.20,21701400,71.20
2009-10-14,70.20,71.80,70.10,71.20,25791000,71.20
2009-10-13,71.00,71.40,69.90,70.10,13342900,70.10
2009-10-12,70.50,71.90,70.40,71.20,12954900,71.20
2009-10-09,69.80,71.00,69.70,70.50,14055800,70.50
2009-10-08,70.10,70.30,69.20,69.90,11765600,69.90
2009-10-07,70.10,70.20,68.90,69.50,13750900,69.50
2009-10-06,70.30,70.70,68.90,70.50,16811500,70.50
2009-10-05,69.60,70.30,69.30,70.00,11811300,70.00
2009-10-02,68.80,70.10,68.30,69.80,27422400,69.80
2009-10-01,69.70,70.30,69.20,69.50,23959100,69.50
2009-09-30,71.10,71.10,69.40,70.00,20032100,70.00
2009-09-29,71.90,72.00,70.20,70.70,18764100,70.70
2009-09-28,70.10,71.60,69.80,71.50,31800,71.50
