Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,12.85,12.97,12.84,12.85,8697700,12.85
2009-12-30,12.71,12.93,12.68,12.92,14997500,12.92
2009-12-29,12.73,12.83,12.64,12.74,11217600,12.74
2009-12-28,12.65,12.70,12.54,12.70,9086600,12.70
2009-12-24,12.54,12.80,12.52,12.78,4550100,12.78
2009-12-23,12.70,12.73,12.61,12.67,6396800,12.67
2009-12-22,12.50,12.65,12.49,12.63,12488600,12.63
2009-12-21,12.33,12.49,12.14,12.39,23277900,12.39
2009-12-18,12.54,12.60,12.30,12.45,15331000,12.45
2009-12-17,12.53,12.56,12.40,12.42,11689300,12.42
2009-12-16,12.78,12.87,12.73,12.77,12867800,12.77
2009-12-15,12.72,12.82,12.67,12.73,10991200,12.73
2009-12-14,12.96,12.96,12.81,12.90,10627300,12.90
2009-12-11,12.87,12.92,12.70,12.81,16651700,12.81
2009-12-10,12.67,12.80,12.53,12.56,12869000,12.56
2009-12-09,12.59,12.64,12.45,12.58,13876600,12.58
2009-12-08,12.76,12.79,12.53,12.54,19189400,12.54
2009-12-07,12.54,12.80,12.53,12.71,20001200,12.71
2009-12-04,12.84,12.98,12.53,12.70,23610600,12.70
2009-12-03,12.93,13.00,12.65,12.75,19542600,12.75
2009-12-02,13.26,13.29,12.77,12.94,30730500,12.94
2009-12-01,13.56,13.60,13.26,13.41,14551400,13.41
2009-11-30,13.21,13.30,13.09,13.26,16524900,13.26
2009-11-27,12.98,13.35,12.96,13.21,8118500,13.21
2009-11-25,13.48,13.58,13.42,13.53,12678200,13.53
2009-11-24,13.40,13.43,13.22,13.34,16565000,13.34
2009-11-23,13.48,13.58,13.40,13.43,10753400,13.43
2009-11-20,13.19,13.34,13.18,13.33,9427900,13.33
2009-11-19,13.67,13.68,13.41,13.61,13353200,13.61
2009-11-18,13.95,14.04,13.85,13.93,26250800,13.93
2009-11-17,13.64,13.73,13.51,13.68,10741600,13.68
2009-11-16,13.72,13.85,13.69,13.77,15402500,13.77
2009-11-13,13.56,13.67,13.46,13.65,19359200,13.65
2009-11-12,13.73,13.78,13.37,13.46,17645200,13.46
2009-11-11,13.81,13.94,13.64,13.71,18851700,13.71
2009-11-10,13.46,13.51,13.25,13.45,26694800,13.45
2009-11-09,13.62,13.80,13.49,13.57,23396200,13.57
2009-11-06,13.06,13.24,13.04,13.21,21647800,13.21
2009-11-05,13.15,13.21,12.97,13.13,17707300,13.13
2009-11-04,13.10,13.16,12.92,12.95,23127900,12.95
2009-11-03,12.63,12.82,12.58,12.81,18053600,12.81
2009-11-02,12.77,12.96,12.56,12.75,24049300,12.75
2009-10-30,13.08,13.11,12.59,12.61,27486600,12.61
2009-10-29,13.14,13.21,13.00,13.17,17844100,13.17
2009-10-28,13.06,13.12,12.77,12.80,24305400,12.80
2009-10-27,13.18,13.25,12.98,13.02,29586100,13.02
