Date,Group,Series,Value
2009-01-02,Valutor mot svenska kronor,1 USD,7.7900 
2009-01-05,Valutor mot svenska kronor,1 USD,7.8250 
2009-01-07,Valutor mot svenska kronor,1 USD,7.8450 
2009-01-08,Valutor mot svenska kronor,1 USD,7.9250 
2009-01-09,Valutor mot svenska kronor,1 USD,7.8475 
2009-01-12,Valutor mot svenska kronor,1 USD,8.0375 
2009-01-13,Valutor mot svenska kronor,1 USD,8.2050 
2009-01-14,Valutor mot svenska kronor,1 USD,8.1800 
2009-01-15,Valutor mot svenska kronor,1 USD,8.4575 
2009-01-16,Valutor mot svenska kronor,1 USD,8.1975 
2009-01-19,Valutor mot svenska kronor,1 USD,8.0575 
2009-01-20,Valutor mot svenska kronor,1 USD,8.4125 
2009-01-21,Valutor mot svenska kronor,1 USD,8.4350 
2009-01-22,Valutor mot svenska kronor,1 USD,8.1525 
2009-01-23,Valutor mot svenska kronor,1 USD,8.3800 
2009-01-26,Valutor mot svenska kronor,1 USD,8.2000 
2009-01-27,Valutor mot svenska kronor,1 USD,7.8900 
2009-01-28,Valutor mot svenska kronor,1 USD,7.9625 
2009-01-29,Valutor mot svenska kronor,1 USD,8.0925 
2009-01-30,Valutor mot svenska kronor,1 USD,8.2350 
2009-02-02,Valutor mot svenska kronor,1 USD,8.3850 
2009-02-03,Valutor mot svenska kronor,1 USD,8.3275 
2009-02-04,Valutor mot svenska kronor,1 USD,8.2525 
2009-02-05,Valutor mot svenska kronor,1 USD,8.2925 
2009-02-06,Valutor mot svenska kronor,1 USD,8.2200 
2009-02-09,Valutor mot svenska kronor,1 USD,8.1575 
2009-02-10,Valutor mot svenska kronor,1 USD,8.1250 
2009-02-11,Valutor mot svenska kronor,1 USD,8.2875 
2009-02-12,Valutor mot svenska kronor,1 USD,8.3875 
2009-02-13,Valutor mot svenska kronor,1 USD,8.3475 
2009-02-16,Valutor mot svenska kronor,1 USD,8.5000 
2009-02-17,Valutor mot svenska kronor,1 USD,8.7050 
2009-02-18,Valutor mot svenska kronor,1 USD,8.7850 
2009-02-19,Valutor mot svenska kronor,1 USD,8.6625 
2009-02-20,Valutor mot svenska kronor,1 USD,8.7900 
2009-02-23,Valutor mot svenska kronor,1 USD,8.6700 
2009-02-24,Valutor mot svenska kronor,1 USD,8.8325 
2009-02-25,Valutor mot svenska kronor,1 USD,8.7350 
2009-02-26,Valutor mot svenska kronor,1 USD,8.8775 
2009-02-27,Valutor mot svenska kronor,1 USD,9.0525 
2009-03-02,Valutor mot svenska kronor,1 USD,9.1825 
2009-03-03,Valutor mot svenska kronor,1 USD,9.0825 
2009-03-04,Valutor mot svenska kronor,1 USD,9.2200 
2009-03-05,Valutor mot svenska kronor,1 USD,9.0650 
2009-03-06,Valutor mot svenska kronor,1 USD,9.1675 
2009-03-09,Valutor mot svenska kronor,1 USD,9.1750 
2009-03-10,Valutor mot svenska kronor,1 USD,9.0800 
2009-03-11,Valutor mot svenska kronor,1 USD,8.8475 
2009-03-12,Valutor mot svenska kronor,1 USD,8.8575 
2009-03-13,Valutor mot svenska kronor,1 USD,8.5475 
2009-03-16,Valutor mot svenska kronor,1 USD,8.4775 
2009-03-17,Valutor mot svenska kronor,1 USD,8.4900 
2009-03-18,Valutor mot svenska kronor,1 USD,8.4050 
2009-03-19,Valutor mot svenska kronor,1 USD,8.0650 
2009-03-20,Valutor mot svenska kronor,1 USD,8.0150 
2009-03-23,Valutor mot svenska kronor,1 USD,8.0575 
2009-03-24,Valutor mot svenska kronor,1 USD,7.9825 
2009-03-25,Valutor mot svenska kronor,1 USD,8.1800 
2009-03-26,Valutor mot svenska kronor,1 USD,8.0575 
2009-03-27,Valutor mot svenska kronor,1 USD,7.9650 
2009-03-30,Valutor mot svenska kronor,1 USD,8.3275 
2009-03-31,Valutor mot svenska kronor,1 USD,8.2850 
2009-04-01,Valutor mot svenska kronor,1 USD,8.2950 
2009-04-02,Valutor mot svenska kronor,1 USD,8.1650 
2009-04-03,Valutor mot svenska kronor,1 USD,8.0400 
2009-04-06,Valutor mot svenska kronor,1 USD,7.8925 
2009-04-07,Valutor mot svenska kronor,1 USD,8.1100 
2009-04-08,Valutor mot svenska kronor,1 USD,8.3050 
2009-04-09,Valutor mot svenska kronor,1 USD,8.2425 
2009-04-14,Valutor mot svenska kronor,1 USD,8.1975 
2009-04-15,Valutor mot svenska kronor,1 USD,8.2150 
2009-04-16,Valutor mot svenska kronor,1 USD,8.2600 
2009-04-17,Valutor mot svenska kronor,1 USD,8.3675 
2009-04-20,Valutor mot svenska kronor,1 USD,8.5125 
2009-04-21,Valutor mot svenska kronor,1 USD,8.6625 
2009-04-22,Valutor mot svenska kronor,1 USD,8.5625 
2009-04-23,Valutor mot svenska kronor,1 USD,8.4375 
2009-04-24,Valutor mot svenska kronor,1 USD,8.2350 
2009-04-27,Valutor mot svenska kronor,1 USD,8.2025 
2009-04-28,Valutor mot svenska kronor,1 USD,8.2350 
2009-04-29,Valutor mot svenska kronor,1 USD,8.1400 
2009-04-30,Valutor mot svenska kronor,1 USD,7.9850 
2009-05-04,Valutor mot svenska kronor,1 USD,8.0175 
2009-05-05,Valutor mot svenska kronor,1 USD,7.9350 
2009-05-06,Valutor mot svenska kronor,1 USD,7.9950 
2009-05-07,Valutor mot svenska kronor,1 USD,7.8875 
2009-05-08,Valutor mot svenska kronor,1 USD,7.8350 
2009-05-11,Valutor mot svenska kronor,1 USD,7.6825 
2009-05-12,Valutor mot svenska kronor,1 USD,7.7900 
2009-05-13,Valutor mot svenska kronor,1 USD,7.7300 
2009-05-14,Valutor mot svenska kronor,1 USD,7.9375 
2009-05-15,Valutor mot svenska kronor,1 USD,7.8850 
2009-05-18,Valutor mot svenska kronor,1 USD,7.9025 
2009-05-19,Valutor mot svenska kronor,1 USD,7.6525 
2009-05-20,Valutor mot svenska kronor,1 USD,7.6725 
2009-05-22,Valutor mot svenska kronor,1 USD,7.5100 
2009-05-25,Valutor mot svenska kronor,1 USD,7.4725 
2009-05-26,Valutor mot svenska kronor,1 USD,7.5525 
2009-05-27,Valutor mot svenska kronor,1 USD,7.5600 
2009-05-28,Valutor mot svenska kronor,1 USD,7.7775 
2009-05-29,Valutor mot svenska kronor,1 USD,7.6600 
2009-06-01,Valutor mot svenska kronor,1 USD,7.4975 
2009-06-02,Valutor mot svenska kronor,1 USD,7.5175 
2009-06-03,Valutor mot svenska kronor,1 USD,7.4775 
2009-06-04,Valutor mot svenska kronor,1 USD,7.6575 
2009-06-05,Valutor mot svenska kronor,1 USD,7.6800 
2009-06-08,Valutor mot svenska kronor,1 USD,7.8625 
2009-06-09,Valutor mot svenska kronor,1 USD,7.7650 
2009-06-10,Valutor mot svenska kronor,1 USD,7.6400 
2009-06-11,Valutor mot svenska kronor,1 USD,7.6975 
2009-06-12,Valutor mot svenska kronor,1 USD,7.6350 
2009-06-15,Valutor mot svenska kronor,1 USD,7.8300 
2009-06-16,Valutor mot svenska kronor,1 USD,7.8525 
2009-06-17,Valutor mot svenska kronor,1 USD,7.7975 
2009-06-18,Valutor mot svenska kronor,1 USD,7.8550 
2009-06-22,Valutor mot svenska kronor,1 USD,7.9550 
2009-06-23,Valutor mot svenska kronor,1 USD,8.0125 
2009-06-24,Valutor mot svenska kronor,1 USD,7.8625 
2009-06-25,Valutor mot svenska kronor,1 USD,7.8925 
2009-06-26,Valutor mot svenska kronor,1 USD,7.8425 
2009-06-29,Valutor mot svenska kronor,1 USD,7.8075 
2009-06-30,Valutor mot svenska kronor,1 USD,7.6875 
2009-07-01,Valutor mot svenska kronor,1 USD,7.6275 
2009-07-02,Valutor mot svenska kronor,1 USD,7.6325 
2009-07-03,Valutor mot svenska kronor,1 USD,7.8000 
2009-07-06,Valutor mot svenska kronor,1 USD,7.8275 
2009-07-07,Valutor mot svenska kronor,1 USD,7.8600 
2009-07-08,Valutor mot svenska kronor,1 USD,7.9650 
2009-07-09,Valutor mot svenska kronor,1 USD,7.9325 
2009-07-10,Valutor mot svenska kronor,1 USD,7.9000 
2009-07-13,Valutor mot svenska kronor,1 USD,7.9550 
2009-07-14,Valutor mot svenska kronor,1 USD,7.8700 
2009-07-15,Valutor mot svenska kronor,1 USD,7.8225 
2009-07-16,Valutor mot svenska kronor,1 USD,7.8200 
2009-07-17,Valutor mot svenska kronor,1 USD,7.8525 
2009-07-20,Valutor mot svenska kronor,1 USD,7.7575 
2009-07-21,Valutor mot svenska kronor,1 USD,7.7125 
2009-07-22,Valutor mot svenska kronor,1 USD,7.6250 
2009-07-23,Valutor mot svenska kronor,1 USD,7.5525 
2009-07-24,Valutor mot svenska kronor,1 USD,7.4775 
2009-07-27,Valutor mot svenska kronor,1 USD,7.4250 
2009-07-28,Valutor mot svenska kronor,1 USD,7.3525 
2009-07-29,Valutor mot svenska kronor,1 USD,7.5100 
2009-07-30,Valutor mot svenska kronor,1 USD,7.4425 
2009-07-31,Valutor mot svenska kronor,1 USD,7.3700 
2009-08-03,Valutor mot svenska kronor,1 USD,7.1875 
2009-08-04,Valutor mot svenska kronor,1 USD,7.1525 
2009-08-05,Valutor mot svenska kronor,1 USD,7.1500 
2009-08-06,Valutor mot svenska kronor,1 USD,7.1500 
2009-08-07,Valutor mot svenska kronor,1 USD,7.1525 
2009-08-10,Valutor mot svenska kronor,1 USD,7.1775 
2009-08-11,Valutor mot svenska kronor,1 USD,7.2300 
2009-08-12,Valutor mot svenska kronor,1 USD,7.3350 
2009-08-13,Valutor mot svenska kronor,1 USD,7.1550 
2009-08-14,Valutor mot svenska kronor,1 USD,7.1475 
2009-08-17,Valutor mot svenska kronor,1 USD,7.2800 
2009-08-18,Valutor mot svenska kronor,1 USD,7.2525 
2009-08-19,Valutor mot svenska kronor,1 USD,7.2900 
2009-08-20,Valutor mot svenska kronor,1 USD,7.1725 
2009-08-21,Valutor mot svenska kronor,1 USD,7.1525 
2009-08-24,Valutor mot svenska kronor,1 USD,7.0350 
2009-08-25,Valutor mot svenska kronor,1 USD,7.0950 
2009-08-26,Valutor mot svenska kronor,1 USD,7.0325 
2009-08-27,Valutor mot svenska kronor,1 USD,7.1250 
2009-08-28,Valutor mot svenska kronor,1 USD,7.1000 
2009-08-31,Valutor mot svenska kronor,1 USD,7.1350 
2009-09-01,Valutor mot svenska kronor,1 USD,7.0700 
