Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,9.22,9.29,9.17,9.19,1855200,9.19
2009-12-30,9.28,9.30,9.21,9.26,2382600,9.26
2009-12-29,9.36,9.41,9.32,9.36,3307200,9.36
2009-12-28,9.33,9.37,9.27,9.30,1578500,9.30
2009-12-24,9.38,9.38,9.26,9.28,1291200,9.28
2009-12-23,9.18,9.32,9.15,9.28,6896900,9.28
2009-12-22,9.14,9.21,9.10,9.19,8934400,9.19
2009-12-21,9.05,9.18,9.05,9.12,6639200,9.12
2009-12-18,9.05,9.11,8.96,9.05,8326600,9.05
2009-12-17,9.07,9.11,8.94,9.06,9373500,9.06
2009-12-16,9.26,9.36,9.25,9.31,3646600,9.31
2009-12-15,9.18,9.28,9.16,9.25,7059100,9.25
2009-12-14,9.46,9.52,9.39,9.44,4946000,9.44
2009-12-11,9.49,9.50,9.39,9.44,3437500,9.44
2009-12-10,9.57,9.61,9.47,9.52,3031300,9.52
2009-12-09,9.51,9.57,9.41,9.51,4719600,9.51
2009-12-08,9.58,9.68,9.52,9.59,10465900,9.59
2009-12-07,9.50,9.57,9.48,9.55,6394100,9.55
2009-12-04,9.79,9.82,9.53,9.62,8692300,9.62
2009-12-03,9.82,9.88,9.65,9.65,4305800,9.65
2009-12-02,9.83,9.96,9.81,9.89,3659800,9.89
2009-12-01,9.83,9.93,9.80,9.85,4404900,9.85
2009-11-30,9.64,9.75,9.56,9.74,12610100,9.74
2009-11-27,9.77,9.92,9.74,9.86,5046800,9.86
2009-11-25,10.03,10.17,10.01,10.14,4560700,10.14
2009-11-24,10.07,10.15,9.95,10.08,5810700,10.08
2009-11-23,10.26,10.31,10.12,10.15,5060100,10.15
2009-11-20,10.07,10.15,10.02,10.10,6109700,10.10
2009-11-19,10.29,10.29,10.12,10.24,4338500,10.24
2009-11-18,10.60,10.64,10.43,10.48,4084700,10.48
2009-11-17,10.54,10.58,10.48,10.54,4476200,10.54
2009-11-16,10.63,10.72,10.57,10.61,5534300,10.61
2009-11-13,10.51,10.63,10.44,10.56,4487900,10.56
2009-11-12,10.59,10.66,10.37,10.40,5781700,10.40
2009-11-11,10.69,10.74,10.60,10.64,6500600,10.64
2009-11-10,10.57,10.68,10.53,10.66,5351700,10.66
2009-11-09,10.51,10.71,10.50,10.66,5619700,10.66
