Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,2292.92,2293.59,2269.11,2269.15,1237820000,2269.15
2009-12-30,2284.56,2293.02,2280.16,2291.28,36922620800,2291.28
2009-12-29,2293.94,2294.75,2286.57,2288.40,1177710000,2288.40
2009-12-28,2290.04,2295.80,2280.56,2291.08,1232130000,2291.08
2009-12-24,2273.95,2285.89,2273.40,2285.69,632650000,2285.69
2009-12-23,2257.21,2271.33,2253.67,2269.64,1582900000,2269.64
2009-12-22,2242.61,2253.73,2241.33,2252.67,1724200000,2252.67
2009-12-21,2224.04,2242.22,2224.04,2237.66,1808830000,2237.66
2009-12-18,2197.57,2213.18,2190.69,2211.69,2848410000,2211.69
2009-12-17,2193.50,2198.51,2178.05,2180.05,1904840000,2180.05
2009-12-16,2210.35,2220.46,2203.33,2206.91,2022440000,2206.91
2009-12-15,2203.54,2217.63,2197.76,2201.05,1946960000,2201.05
2009-12-14,2202.31,2212.56,2193.20,2212.10,1841890000,2212.10
2009-12-11,2200.96,2202.40,2179.51,2190.31,1754430000,2190.31
2009-12-10,2194.90,2202.84,2187.08,2190.86,1946370000,2190.86
2009-12-09,2170.02,2185.70,2155.96,2183.73,1906210000,2183.73
2009-12-08,2174.72,2187.19,2160.43,2172.99,1981800000,2172.99
2009-12-07,2191.35,2201.42,2183.13,2189.61,1878980000,2189.61
2009-12-04,2203.75,2214.39,2169.66,2194.35,2305950000,2194.35
2009-12-03,2190.42,2203.75,2172.04,2173.14,2001660000,2173.14
2009-12-02,2178.51,2198.55,2177.82,2185.03,2068920000,2185.03
2009-12-01,2162.23,2182.24,2162.23,2175.81,2151300000,2175.81
2009-11-30,2135.93,2146.93,2120.70,2144.60,1986050000,2144.60
2009-11-27,2115.96,2155.41,2113.99,2138.44,971990000,2138.44
2009-11-25,2174.00,2178.62,2170.06,2176.05,1398610000,2176.05
2009-11-24,2174.69,2175.15,2155.22,2169.18,1858490000,2169.18
2009-11-23,2168.95,2189.50,2168.77,2176.01,1840170000,2176.01
2009-11-20,2145.07,2150.08,2137.06,2146.04,1962760000,2146.04
2009-11-19,2176.37,2176.51,2141.59,2156.82,2208700000,2156.82
2009-11-18,2199.87,2200.15,2180.17,2193.14,1990220000,2193.14
2009-11-17,2190.12,2203.78,2185.55,2203.78,1887240000,2203.78
2009-11-16,2177.31,2205.32,2177.00,2197.85,2105020000,2197.85
2009-11-13,2156.68,2172.05,2145.92,2167.88,1876220000,2167.88
2009-11-12,2166.98,2179.19,2145.83,2149.02,2212370000,2149.02
2009-11-11,2166.53,2177.91,2155.25,2166.90,1851790000,2166.90
2009-11-10,2147.24,2160.64,2141.27,2151.08,1997240000,2151.08
2009-11-09,2128.46,2154.06,2128.15,2154.06,2004700000,2154.06
2009-11-06,2089.49,2117.62,2088.24,2112.44,1829150000,2112.44
2009-11-05,2078.83,2105.32,2075.61,2105.32,2209690000,2105.32
2009-11-04,2067.56,2081.10,2053.00,2055.52,2217520000,2055.52
2009-11-03,2034.09,2057.32,2031.25,2057.32,2061050000,2057.32
2009-11-02,2047.42,2069.49,2024.27,2049.20,2408320000,2049.20
2009-10-30,2091.56,2095.09,2040.21,2045.11,2610280000,2045.11
2009-10-29,2077.04,2101.33,2071.30,2097.55,2301370000,2097.55
2009-10-28,2103.36,2111.84,2057.40,2059.61,2769570000,2059.61
2009-10-27,2144.15,2148.88,2110.91,2116.09,2384620000,2116.09
2009-10-26,2158.81,2183.61,2136.92,2141.85,2316210000,2141.85
2009-10-23,2186.64,2190.48,2149.35,2154.47,2441920000,2154.47
